Customer ID,Gender,Age,Transaction Amount,Transaction Date,Category
752858,F,21,35.47,2023-04-03,Cosmetic
26381,,38,2552.72,2023-07-17,Travel
305449,M,42,115.97,2023-09-20,Clothing
988259,M,46,11.31,2023-01-11,Cosmetic
764762,F,72,62.21,2023-06-13,Electronics
576539,F,22,99.14,2023-08-24,Cosmetic
124681,,47,145.94,2023-08-30,Cosmetic
521807,F,55,161.39,2023-02-08,Cosmetic
504238,M,66,77.73,2023-01-12,Restaurant
583532,F,49,142.85,2023-06-07,Clothing
924841,M,47,928.68,2023-02-11,Travel
123235,M,52,387.78,2023-09-24,Market
840546,M,55,142.07,2023-08-07,Cosmetic
516709,M,19,107.44,2023-04-22,Cosmetic
683760,M,19,54.31,2023-04-10,Cosmetic
777948,F,57,79.57,2023-01-05,Restaurant
440706,F,66,441.18,2023-02-28,Market
793150,,61,475.82,2023-04-22,Market
27213,M,74,106.26,2023-05-20,Cosmetic
401993,M,24,1468.14,2023-05-14,Travel
103920,M,46,40.08,2023-05-28,Clothing
943548,,28,39.87,2023-06-01,Clothing
178351,F,30,151.73,2023-06-29,Clothing
615357,M,30,17.05,2023-04-17,Restaurant
111696,,32,108.3,2023-06-14,Cosmetic
6905,M,42,366.56,2023-02-01,Market
291542,M,64,924.23,2023-03-18,Electronics
517389,F,67,781.85,2023-03-30,Travel
744599,F,20,1479.49,2023-04-15,Travel
726547,,57,94.69,2023-09-13,Cosmetic
485562,F,29,58.97,2023-09-21,Cosmetic
28347,M,45,148.26,2023-06-06,Cosmetic
899551,F,62,157.6,2023-07-20,Clothing
485255,F,53,2071.69,2023-09-20,Travel
668341,M,62,251.83,2023-06-21,Market
355400,F,45,631.18,2023-09-10,Travel
796123,M,70,1745.4,2023-03-05,Travel
343329,M,43,487.43,2023-01-14,Electronics
409886,M,23,64.39,2023-05-18,Clothing
11697,F,22,2423.86,2023-09-02,Travel
13908,F,20,98.4,2023-09-17,Cosmetic
373595,F,36,84.46,2023-05-17,Restaurant
599093,,67,57.83,2023-08-06,Electronics
370834,F,26,856.38,2023-07-26,Electronics
261654,,46,147.43,2023-06-11,Cosmetic
232533,M,65,128.67,2023-10-07,Cosmetic
555415,F,61,50.21,2023-03-20,Market
717993,M,25,71.38,2023-09-26,Clothing
573771,F,32,331.08,2023-06-30,Electronics
59223,F,74,711.74,2023-07-07,Travel
801291,,43,1374.86,2023-03-19,Travel
858686,F,20,39.24,2023-02-18,Restaurant
652558,F,28,16.68,2023-05-01,Cosmetic
39683,M,41,112.63,2023-05-25,Cosmetic
344613,F,66,185.8,2023-05-07,Cosmetic
62730,M,45,58.11,2023-03-31,Restaurant
816425,F,57,66.45,2023-06-23,Restaurant
641954,F,28,2035.14,2023-09-14,Travel
904827,F,60,153.73,2023-06-20,Travel
779830,F,68,130.7,2023-02-12,Cosmetic
765738,F,25,180.37,2023-08-21,Market
805732,F,43,2612.99,2023-07-03,Travel
982485,,41,139.2,2023-08-04,Market
955318,F,51,235.47,2023-06-18,Clothing
738539,,18,52.71,2023-09-26,Clothing
396758,M,47,12.26,2023-06-10,Restaurant
884080,F,43,147.62,2023-03-15,Cosmetic
34415,F,28,2770.66,2023-07-28,Travel
164888,F,22,654.39,2023-07-29,Electronics
677049,M,72,23.42,2023-05-17,Clothing
289003,F,66,1949.03,2023-01-01,Travel
385557,F,20,47.85,2023-04-17,Restaurant
665628,F,33,40.42,2023-08-20,Clothing
95705,F,56,263.62,2023-01-20,Clothing
697024,,62,76.6,2023-08-04,Cosmetic
273487,F,21,21.85,2023-04-06,Restaurant
828224,M,74,154.36,2023-10-08,Market
641695,F,22,40.39,2023-09-14,Restaurant
410859,F,28,50.69,2023-10-02,Market
403963,,53,311.04,2023-05-30,Market
526718,M,56,1616.19,2023-07-01,Travel
364086,M,71,839.12,2023-03-23,Electronics
178510,F,54,287.34,2023-08-18,Market
143865,F,67,246.62,2023-08-02,Market
946664,M,65,168.28,2023-01-26,Cosmetic
800246,,27,96.41,2023-03-21,Cosmetic
884621,F,60,344.34,2023-07-20,Electronics
420838,,48,231.65,2023-02-21,Market
59633,M,56,211.58,2023-03-27,Market
361536,M,53,234.16,2023-05-24,Clothing
496809,M,73,10.51,2023-09-28,Market
471552,M,42,304.25,2023-04-16,Electronics
450062,F,72,278.38,2023-07-23,Market
925651,M,47,159.44,2023-05-18,Clothing
155186,F,18,21.79,2023-08-29,Restaurant
838514,M,19,231.35,2023-03-02,Clothing
981118,M,52,2362.42,2023-06-28,Travel
658610,M,58,395.33,2023-03-20,Market
463162,,65,958.43,2023-04-28,Electronics
707412,F,38,94.93,2023-08-27,Restaurant
514027,,59,521.53,2023-06-14,Electronics
370935,M,57,56.48,2023-06-23,Market
986863,F,50,58.8,2023-05-15,Restaurant
67931,,60,313.71,2023-01-31,Market
908317,M,43,22.38,2023-08-27,Restaurant
347539,M,57,11.83,2023-01-25,Restaurant
726123,,23,202.12,2023-06-12,Market
79597,M,68,246.7,2023-05-22,Travel
95898,M,54,58.75,2023-05-05,Restaurant
802243,F,50,2128,2023-05-28,Travel
805206,F,74,86.96,2023-08-28,Cosmetic
140219,F,37,79,2023-06-08,Cosmetic
